Unnamed: 0,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
90,LP001316,Male,Yes,0,Graduate,No,29580,29000.0,1310000.0,360.0,1.0,Semiurban,Y
533,LP002729,Male,No,1,Graduate,No,112500,0.0,1960000.0,360.0,,Semiurban,N
452,LP002448,Male,Yes,0,Graduate,No,39480,17330.0,1490000.0,360.0,0.0,Rural,N
355,LP002144,Female,No,,Graduate,No,38130,0.0,1160000.0,180.0,1.0,Urban,Y
266,LP001877,Male,Yes,2,Graduate,No,47080,13870.0,1500000.0,360.0,1.0,Semiurban,Y
118,LP001421,Male,Yes,0,Graduate,No,55680,21420.0,1750000.0,360.0,1.0,Rural,N
144,LP001508,Male,Yes,2,Graduate,No,117570,0.0,1870000.0,180.0,1.0,Urban,Y
403,LP002300,Female,No,0,Not Graduate,No,19630,0.0,530000.0,360.0,1.0,Semiurban,Y
603,LP002958,Male,No,0,Graduate,No,36760,43010.0,1720000.0,360.0,1.0,Rural,Y
366,LP002187,Male,No,0,Graduate,No,25000,0.0,960000.0,480.0,1.0,Semiurban,N
568,LP002840,Female,No,0,Graduate,No,23780,0.0,90000.0,360.0,1.0,Urban,N
235,LP001784,Male,Yes,1,Graduate,No,55000,12600.0,1700000.0,360.0,1.0,Rural,Y
239,LP001792,Male,Yes,1,Graduate,No,33150,0.0,960000.0,360.0,1.0,Semiurban,Y
315,LP002031,Male,Yes,1,Not Graduate,No,33990,16400.0,1110000.0,180.0,1.0,Urban,Y
318,LP002043,Female,No,1,Graduate,No,35410,0.0,1120000.0,360.0,,Semiurban,Y
132,LP001478,Male,No,0,Graduate,No,27180,0.0,700000.0,360.0,1.0,Semiurban,Y
566,LP002836,Male,No,0,Graduate,No,33330,0.0,700000.0,360.0,1.0,Urban,Y
279,LP001908,Female,Yes,0,Not Graduate,No,41000,0.0,1240000.0,360.0,,Rural,Y
493,LP002582,Female,No,0,Not Graduate,Yes,172630,0.0,2250000.0,360.0,1.0,Semiurban,Y
358,LP002158,Male,Yes,0,Not Graduate,No,30000,16660.0,1000000.0,480.0,0.0,Urban,N
425,LP002366,Male,Yes,0,Graduate,No,26660,43000.0,1210000.0,360.0,1.0,Rural,Y
592,LP002933,,No,3+,Graduate,Yes,93570,0.0,2920000.0,360.0,1.0,Semiurban,Y
308,LP001996,Male,No,0,Graduate,No,202330,0.0,4800000.0,360.0,1.0,Rural,N
96,LP001327,Female,Yes,0,Graduate,No,24840,23020.0,1370000.0,360.0,1.0,Semiurban,Y
443,LP002422,Male,No,1,Graduate,No,377190,0.0,1520000.0,360.0,1.0,Semiurban,Y
532,LP002723,Male,No,2,Graduate,No,35880,0.0,1100000.0,360.0,0.0,Rural,N
399,LP002287,Female,No,0,Graduate,No,15000,18000.0,1030000.0,360.0,0.0,Semiurban,N
89,LP001310,Male,Yes,0,Graduate,No,56950,41670.0,1750000.0,360.0,1.0,Semiurban,Y
271,LP001891,Male,Yes,0,Graduate,No,111460,0.0,1360000.0,360.0,1.0,Urban,Y
563,LP002821,Male,No,0,Not Graduate,Yes,58000,0.0,1320000.0,360.0,1.0,Semiurban,Y
162,LP001565,Male,Yes,1,Graduate,No,30890,12800.0,1210000.0,360.0,0.0,Semiurban,N
46,LP001138,Male,Yes,1,Graduate,No,56490,0.0,440000.0,360.0,1.0,Urban,Y
272,LP001892,Male,No,0,Graduate,No,28330,18570.0,1260000.0,360.0,1.0,Rural,Y
474,LP002524,Male,No,2,Graduate,No,55320,46480.0,1620000.0,360.0,1.0,Rural,Y
382,LP002231,Female,No,0,Graduate,No,60000,0.0,1560000.0,360.0,1.0,Urban,Y
283,LP001917,Female,No,0,Graduate,No,18110,16660.0,540000.0,360.0,1.0,Urban,Y
107,LP001370,Male,No,0,Not Graduate,,73330,0.0,1200000.0,360.0,1.0,Rural,N
205,LP001692,Female,No,0,Not Graduate,No,44080,0.0,1200000.0,360.0,1.0,Semiurban,Y
384,LP002236,Male,Yes,2,Graduate,No,45660,0.0,1000000.0,360.0,1.0,Urban,N
0,LP001002,Male,No,0,Graduate,No,58490,0.0,,360.0,1.0,Urban,Y
202,LP001682,Male,Yes,3+,Not Graduate,No,39920,0.0,,180.0,1.0,Urban,N
71,LP001245,Male,Yes,2,Not Graduate,Yes,18750,18750.0,970000.0,360.0,1.0,Semiurban,Y
170,LP001581,Male,Yes,0,Not Graduate,,18200,17690.0,950000.0,360.0,1.0,Rural,Y
102,LP001350,Male,Yes,,Graduate,No,136500,0.0,,360.0,1.0,Urban,Y
407,LP002314,Female,No,0,Not Graduate,No,22130,0.0,660000.0,360.0,1.0,Rural,Y
108,LP001379,Male,Yes,2,Graduate,No,38000,36000.0,2160000.0,360.0,0.0,Urban,N
573,LP002862,Male,Yes,2,Not Graduate,No,61250,16250.0,1870000.0,480.0,1.0,Semiurban,N
613,LP002990,Female,No,0,Graduate,Yes,45830,0.0,1330000.0,360.0,0.0,Semiurban,N
313,LP002008,Male,Yes,2,Graduate,Yes,57460,0.0,1440000.0,84.0,,Rural,Y
509,LP002634,Female,No,1,Graduate,No,132620,0.0,400000.0,360.0,1.0,Urban,Y
419,LP002347,Male,Yes,0,Graduate,No,32460,14170.0,1380000.0,360.0,1.0,Semiurban,Y
298,LP001955,Female,No,0,Graduate,No,50000,25410.0,1510000.0,480.0,1.0,Rural,N
492,LP002571,Male,No,0,Not Graduate,No,36910,0.0,1100000.0,360.0,1.0,Rural,Y
480,LP002534,Female,No,0,Not Graduate,No,43500,0.0,1540000.0,360.0,1.0,Rural,Y
26,LP001068,Male,Yes,0,Graduate,No,27990,22530.0,1220000.0,360.0,1.0,Semiurban,Y
604,LP002959,Female,Yes,1,Graduate,No,120000,0.0,4960000.0,360.0,1.0,Semiurban,Y
332,LP002100,Male,No,,Graduate,No,28330,0.0,710000.0,360.0,1.0,Urban,Y
242,LP001806,Male,No,0,Graduate,No,29650,57010.0,1550000.0,60.0,1.0,Urban,Y
515,LP002659,Male,Yes,3+,Graduate,No,34660,34280.0,1500000.0,360.0,1.0,Rural,Y
582,LP002894,Female,Yes,0,Graduate,No,31660,0.0,360000.0,360.0,1.0,Semiurban,Y
225,LP001751,Male,Yes,0,Graduate,No,32500,0.0,1700000.0,360.0,1.0,Rural,N
134,LP001487,Male,No,0,Graduate,No,48950,0.0,1020000.0,360.0,1.0,Semiurban,Y
351,LP002140,Male,No,0,Graduate,No,87500,41670.0,3080000.0,360.0,1.0,Rural,N
593,LP002936,Male,Yes,0,Graduate,No,38590,33000.0,1420000.0,180.0,1.0,Rural,Y
320,LP002051,Male,Yes,0,Graduate,No,24000,21670.0,1150000.0,360.0,1.0,Semiurban,Y
186,LP001641,Male,Yes,1,Graduate,Yes,21780,0.0,660000.0,300.0,0.0,Rural,N
557,LP002795,Male,Yes,3+,Graduate,Yes,101390,0.0,2600000.0,360.0,1.0,Semiurban,Y
344,LP002128,Male,Yes,2,Graduate,,25830,23300.0,1250000.0,360.0,1.0,Rural,Y
598,LP002945,Male,Yes,0,Graduate,Yes,99630,0.0,1800000.0,360.0,1.0,Rural,Y
392,LP002263,Male,Yes,0,Graduate,No,25830,21150.0,1200000.0,360.0,,Urban,Y
601,LP002950,Male,Yes,0,Not Graduate,,28940,27920.0,1550000.0,360.0,1.0,Rural,Y
517,LP002682,Male,Yes,,Not Graduate,No,30740,18000.0,1230000.0,360.0,0.0,Semiurban,N
140,LP001497,Male,Yes,2,Graduate,No,50420,20830.0,1850000.0,360.0,1.0,Rural,N
555,LP002792,Male,Yes,1,Graduate,No,54680,10320.0,260000.0,360.0,1.0,Semiurban,Y
171,LP001585,,Yes,3+,Graduate,No,517630,0.0,7000000.0,300.0,1.0,Urban,Y
576,LP002872,,Yes,0,Graduate,No,30870,22100.0,1360000.0,360.0,0.0,Semiurban,N
113,LP001392,Female,No,1,Graduate,Yes,74510,0.0,,360.0,1.0,Semiurban,Y
18,LP001038,Male,Yes,0,Not Graduate,No,48870,0.0,1330000.0,360.0,1.0,Rural,N
76,LP001256,Male,No,0,Graduate,No,37500,47500.0,1760000.0,360.0,1.0,Urban,N
231,LP001768,Male,Yes,0,Graduate,,37160,0.0,420000.0,180.0,1.0,Rural,Y
400,LP002288,Male,Yes,2,Not Graduate,No,28890,0.0,450000.0,180.0,0.0,Urban,N
369,LP002191,Male,Yes,0,Graduate,No,197300,52660.0,5700000.0,360.0,1.0,Rural,N
213,LP001715,Male,Yes,3+,Not Graduate,Yes,57030,0.0,1300000.0,360.0,1.0,Rural,Y
188,LP001644,,Yes,0,Graduate,Yes,6740,52960.0,1680000.0,360.0,1.0,Rural,Y
610,LP002979,Male,Yes,3+,Graduate,No,41060,0.0,400000.0,180.0,1.0,Rural,Y
345,LP002129,Male,Yes,0,Graduate,No,24990,24580.0,1600000.0,360.0,1.0,Semiurban,Y
395,LP002272,Male,Yes,2,Graduate,No,32760,4840.0,1350000.0,360.0,,Semiurban,Y
159,LP001552,Male,Yes,0,Graduate,No,45830,56250.0,2550000.0,360.0,1.0,Semiurban,Y
333,LP002101,Male,Yes,0,Graduate,,633370,0.0,4900000.0,180.0,1.0,Urban,Y
339,LP002114,Female,No,0,Graduate,No,41600,0.0,710000.0,360.0,1.0,Semiurban,Y
346,LP002130,Male,Yes,,Not Graduate,No,35230,32300.0,1520000.0,360.0,0.0,Rural,N
590,LP002928,Male,Yes,0,Graduate,No,30000,34160.0,560000.0,180.0,1.0,Semiurban,Y
421,LP002357,Female,No,0,Not Graduate,No,27200,0.0,800000.0,,0.0,Urban,N
175,LP001606,Male,Yes,0,Graduate,No,34970,19640.0,1160000.0,360.0,1.0,Rural,Y
112,LP001391,Male,Yes,0,Not Graduate,No,35720,41140.0,1520000.0,,0.0,Rural,N
446,LP002434,Male,Yes,2,Not Graduate,No,46520,0.0,1100000.0,360.0,1.0,Rural,Y
68,LP001238,Male,Yes,3+,Not Graduate,Yes,71000,0.0,1250000.0,60.0,1.0,Urban,Y
437,LP002401,Male,Yes,0,Graduate,No,22130,11250.0,,360.0,1.0,Urban,Y
249,LP001825,Male,Yes,0,Graduate,No,18090,18680.0,900000.0,360.0,1.0,Urban,Y
65,LP001225,Male,Yes,0,Graduate,No,57260,45950.0,2580000.0,360.0,1.0,Semiurban,N
571,LP002847,Male,Yes,,Graduate,No,51160,14510.0,1650000.0,360.0,0.0,Urban,N
126,LP001448,,Yes,3+,Graduate,No,238030,0.0,3700000.0,360.0,1.0,Rural,Y
506,LP002624,Male,Yes,0,Graduate,No,208330,66670.0,4800000.0,360.0,,Urban,Y
467,LP002501,,Yes,0,Graduate,No,166920,0.0,1100000.0,360.0,1.0,Semiurban,Y
409,LP002317,Male,Yes,3+,Graduate,No,810000,0.0,3600000.0,360.0,0.0,Rural,N
263,LP001871,Female,No,0,Graduate,No,72000,0.0,1200000.0,360.0,1.0,Rural,Y
458,LP002472,Male,No,2,Graduate,No,43540,0.0,1360000.0,360.0,1.0,Rural,Y
412,LP002328,Male,Yes,0,Not Graduate,No,60960,0.0,2180000.0,360.0,0.0,Rural,N
299,LP001963,Male,Yes,1,Graduate,No,20140,29250.0,1130000.0,360.0,1.0,Urban,N
518,LP002683,Male,No,0,Graduate,No,46830,19150.0,1850000.0,360.0,1.0,Semiurban,N
420,LP002348,Male,Yes,0,Graduate,No,58290,0.0,1380000.0,360.0,1.0,Rural,Y
137,LP001491,Male,Yes,2,Graduate,Yes,33160,35000.0,880000.0,360.0,1.0,Urban,Y
330,LP002097,Male,No,1,Graduate,No,43840,17930.0,1170000.0,360.0,1.0,Urban,Y
7,LP001014,Male,Yes,3+,Graduate,No,30360,25040.0,1580000.0,360.0,0.0,Semiurban,N
483,LP002541,Male,Yes,0,Graduate,No,108330,0.0,2340000.0,360.0,1.0,Semiurban,Y
179,LP001630,Male,No,0,Not Graduate,No,23330,14510.0,1020000.0,480.0,0.0,Urban,N
564,LP002832,Male,Yes,2,Graduate,No,87990,0.0,2580000.0,360.0,0.0,Urban,N
306,LP001993,Female,No,0,Graduate,No,37620,16660.0,1350000.0,360.0,1.0,Rural,Y
596,LP002941,Male,Yes,2,Not Graduate,Yes,63830,10000.0,1870000.0,360.0,1.0,Rural,N
471,LP002517,Male,Yes,1,Not Graduate,No,26530,15000.0,1130000.0,180.0,0.0,Rural,N
503,LP002618,Male,Yes,1,Not Graduate,No,40500,53020.0,1380000.0,360.0,,Rural,N
155,LP001536,Male,Yes,3+,Graduate,No,399990,0.0,6000000.0,180.0,0.0,Semiurban,Y
462,LP002487,Male,Yes,0,Graduate,No,30150,21880.0,1530000.0,360.0,1.0,Rural,Y
185,LP001640,Male,Yes,0,Graduate,Yes,391470,47500.0,1200000.0,360.0,1.0,Semiurban,Y
101,LP001349,Male,No,0,Graduate,No,48430,38060.0,1510000.0,360.0,1.0,Semiurban,Y
97,LP001333,Male,Yes,0,Graduate,No,19770,9970.0,500000.0,360.0,1.0,Semiurban,Y
20,LP001043,Male,Yes,0,Not Graduate,No,76600,0.0,1040000.0,360.0,0.0,Urban,N
153,LP001532,Male,Yes,2,Not Graduate,No,22810,0.0,1130000.0,360.0,1.0,Rural,N
54,LP001186,Female,Yes,1,Graduate,Yes,115000,0.0,2860000.0,360.0,0.0,Urban,N
30,LP001091,Male,Yes,1,Graduate,,41660,33690.0,2010000.0,360.0,,Urban,N
312,LP002006,Female,No,0,Graduate,No,25070,0.0,560000.0,360.0,1.0,Rural,Y
49,LP001151,Female,No,0,Graduate,No,40000,22750.0,1440000.0,360.0,1.0,Semiurban,Y
236,LP001786,Male,Yes,0,Graduate,,57460,0.0,2550000.0,360.0,,Urban,N
100,LP001345,Male,Yes,2,Not Graduate,No,42880,32630.0,1330000.0,180.0,1.0,Urban,Y
379,LP002225,Male,Yes,2,Graduate,No,53910,0.0,1300000.0,360.0,1.0,Urban,Y
475,LP002527,Male,Yes,2,Graduate,Yes,165250,10140.0,1500000.0,360.0,1.0,Rural,Y
485,LP002544,Male,Yes,1,Not Graduate,No,19580,24360.0,1310000.0,360.0,1.0,Rural,Y
56,LP001195,Male,Yes,0,Graduate,No,21320,15910.0,960000.0,360.0,1.0,Semiurban,Y
60,LP001205,Male,Yes,0,Graduate,No,25000,37960.0,1200000.0,360.0,1.0,Urban,Y
479,LP002533,Male,Yes,2,Graduate,No,29470,16030.0,,360.0,1.0,Urban,N
262,LP001870,Female,No,1,Graduate,No,34810,0.0,1550000.0,36.0,1.0,Semiurban,N
463,LP002489,Female,No,1,Not Graduate,,51910,0.0,1320000.0,360.0,1.0,Semiurban,Y
264,LP001872,Male,No,0,Graduate,Yes,51660,0.0,1280000.0,360.0,1.0,Semiurban,Y
301,LP001972,Male,Yes,,Not Graduate,No,28750,17500.0,1050000.0,360.0,1.0,Semiurban,Y
208,LP001699,Male,No,0,Graduate,No,24790,0.0,590000.0,360.0,1.0,Urban,Y
311,LP002004,Male,No,0,Not Graduate,No,29270,24050.0,1110000.0,360.0,1.0,Semiurban,Y
293,LP001945,Female,No,,Graduate,No,54170,0.0,1430000.0,480.0,0.0,Urban,N
167,LP001578,Male,Yes,0,Graduate,No,24390,33330.0,1290000.0,360.0,1.0,Rural,Y
38,LP001114,Male,No,0,Graduate,No,41660,72100.0,1840000.0,360.0,1.0,Urban,Y
502,LP002615,Male,Yes,2,Graduate,No,48650,56240.0,2080000.0,360.0,1.0,Semiurban,Y
334,LP002103,,Yes,1,Graduate,Yes,98330,18330.0,1820000.0,180.0,1.0,Urban,Y
455,LP002455,Male,Yes,2,Graduate,No,38590,0.0,960000.0,360.0,1.0,Semiurban,Y
527,LP002706,Male,Yes,1,Not Graduate,No,52850,14300.0,1610000.0,360.0,0.0,Semiurban,Y
163,LP001570,Male,Yes,2,Graduate,No,41670,14470.0,1580000.0,360.0,1.0,Rural,Y
124,LP001439,Male,Yes,0,Not Graduate,No,43000,20140.0,1940000.0,360.0,1.0,Rural,Y
154,LP001535,Male,No,0,Graduate,No,32540,0.0,500000.0,360.0,1.0,Urban,Y
59,LP001199,Male,Yes,2,Not Graduate,No,33570,28590.0,1440000.0,360.0,1.0,Urban,Y
325,LP002067,Male,Yes,1,Graduate,Yes,86660,49830.0,3760000.0,360.0,0.0,Rural,N
577,LP002874,Male,No,0,Graduate,No,32290,27390.0,1100000.0,360.0,1.0,Urban,Y
285,LP001924,Male,No,0,Graduate,No,31580,30530.0,890000.0,360.0,1.0,Rural,Y
158,LP001546,Male,No,0,Graduate,,29800,20830.0,1200000.0,360.0,1.0,Rural,Y
51,LP001157,Female,No,0,Graduate,No,30860,0.0,1200000.0,360.0,1.0,Semiurban,Y
389,LP002250,Male,Yes,0,Graduate,No,54880,0.0,1250000.0,360.0,1.0,Rural,Y
439,LP002407,Female,Yes,0,Not Graduate,Yes,71420,0.0,1380000.0,360.0,1.0,Rural,Y
219,LP001734,Female,Yes,2,Graduate,No,42830,23830.0,1270000.0,360.0,,Semiurban,Y
74,LP001253,Male,Yes,3+,Graduate,Yes,52660,17740.0,1870000.0,360.0,1.0,Semiurban,Y
282,LP001915,Male,Yes,2,Graduate,No,23010,9857.999878,780000.0,180.0,1.0,Urban,Y
4,LP001008,Male,No,0,Graduate,No,60000,0.0,1410000.0,360.0,1.0,Urban,Y
484,LP002543,Male,Yes,2,Graduate,No,83330,0.0,2460000.0,360.0,1.0,Semiurban,Y
447,LP002435,Male,Yes,0,Graduate,,35390,13760.0,550000.0,360.0,1.0,Rural,N
319,LP002050,Male,Yes,1,Graduate,Yes,100000,0.0,1550000.0,360.0,1.0,Rural,N
380,LP002226,Male,Yes,0,Graduate,,33330,25000.0,1280000.0,360.0,1.0,Semiurban,Y
5,LP001011,Male,Yes,2,Graduate,Yes,54170,41960.0,2670000.0,360.0,1.0,Urban,Y
141,LP001498,Male,No,0,Graduate,No,54170,0.0,1680000.0,360.0,1.0,Urban,Y
391,LP002262,Male,Yes,3+,Graduate,No,95040,0.0,2750000.0,360.0,1.0,Rural,Y
135,LP001488,Male,Yes,3+,Graduate,No,40000,77500.0,2900000.0,360.0,1.0,Semiurban,N
338,LP002113,Female,No,3+,Not Graduate,No,18300,0.0,,360.0,0.0,Urban,N
552,LP002785,Male,Yes,1,Graduate,No,33330,32500.0,1580000.0,360.0,1.0,Urban,Y
22,LP001047,Male,Yes,0,Not Graduate,No,26000,19110.0,1160000.0,360.0,0.0,Semiurban,N
276,LP001903,Male,Yes,0,Graduate,No,39930,32740.0,2070000.0,360.0,1.0,Semiurban,Y
284,LP001922,Male,Yes,0,Graduate,No,206670,0.0,,360.0,1.0,Rural,N
489,LP002556,Male,No,0,Graduate,No,24350,0.0,750000.0,360.0,1.0,Urban,N
589,LP002926,Male,Yes,2,Graduate,Yes,27260,0.0,1060000.0,360.0,0.0,Semiurban,N
281,LP001914,Male,Yes,0,Graduate,No,39270,8000.0,1120000.0,360.0,1.0,Semiurban,Y
220,LP001736,Male,Yes,0,Graduate,No,22210,0.0,600000.0,360.0,0.0,Urban,N
558,LP002798,Male,Yes,0,Graduate,No,38870,26690.0,1620000.0,360.0,1.0,Semiurban,Y
120,LP001426,Male,Yes,,Graduate,No,56670,26670.0,1800000.0,360.0,1.0,Rural,Y
81,LP001266,Male,Yes,1,Graduate,Yes,23950,0.0,,360.0,1.0,Semiurban,Y
456,LP002459,Male,Yes,0,Graduate,No,43010,0.0,1180000.0,360.0,1.0,Urban,Y
316,LP002035,Male,Yes,2,Graduate,No,37170,0.0,1200000.0,360.0,1.0,Semiurban,Y
597,LP002943,Male,No,,Graduate,No,29870,0.0,880000.0,360.0,0.0,Semiurban,N
591,LP002931,Male,Yes,2,Graduate,Yes,60000,0.0,2050000.0,240.0,1.0,Semiurban,N
160,LP001560,Male,Yes,0,Not Graduate,No,18630,10410.0,980000.0,360.0,1.0,Semiurban,Y
605,LP002960,Male,Yes,0,Not Graduate,No,24000,38000.0,,180.0,1.0,Urban,N
238,LP001790,Female,No,1,Graduate,No,38120,0.0,1120000.0,360.0,1.0,Rural,Y
336,LP002110,Male,Yes,1,Graduate,,52500,6880.0,1600000.0,360.0,1.0,Rural,Y
375,LP002211,Male,Yes,0,Graduate,No,48170,9230.0,1200000.0,180.0,1.0,Urban,Y
529,LP002716,Male,No,0,Not Graduate,No,67830,0.0,1300000.0,360.0,1.0,Semiurban,Y
195,LP001665,Male,Yes,1,Graduate,No,31250,25830.0,1700000.0,360.0,1.0,Semiurban,N
191,LP001656,Male,No,0,Graduate,No,120000,0.0,1640000.0,360.0,1.0,Semiurban,N
116,LP001404,Female,Yes,0,Graduate,No,31670,22830.0,1540000.0,360.0,1.0,Semiurban,Y
436,LP002398,Male,No,0,Graduate,No,19260,18510.0,500000.0,360.0,1.0,Semiurban,Y
505,LP002622,Male,Yes,2,Graduate,No,35100,44160.0,2430000.0,360.0,1.0,Rural,Y
164,LP001572,Male,Yes,0,Graduate,No,93230,0.0,750000.0,180.0,1.0,Urban,Y
106,LP001369,Male,Yes,2,Graduate,No,114170,11260.0,2250000.0,360.0,1.0,Urban,Y
477,LP002530,,Yes,2,Graduate,No,28730,18720.0,1320000.0,360.0,0.0,Semiurban,N
63,LP001213,Male,Yes,1,Graduate,No,49450,0.0,,360.0,0.0,Rural,N
105,LP001367,Male,Yes,1,Graduate,No,30520,10300.0,1000000.0,360.0,1.0,Urban,Y
372,LP002201,Male,Yes,2,Graduate,Yes,93230,78730.0,3800000.0,300.0,1.0,Rural,Y
580,LP002892,Male,Yes,2,Graduate,No,65400,0.0,2050000.0,360.0,1.0,Semiurban,Y
329,LP002087,Female,No,0,Graduate,No,25000,0.0,670000.0,360.0,1.0,Urban,Y
541,LP002743,Female,No,0,Graduate,No,21380,0.0,990000.0,360.0,0.0,Semiurban,N
495,LP002586,Female,Yes,1,Graduate,No,33260,9130.0,1050000.0,84.0,1.0,Semiurban,Y
93,LP001322,Male,No,0,Graduate,No,41330,0.0,1220000.0,360.0,1.0,Semiurban,Y
402,LP002297,Male,No,0,Graduate,No,25000,200000.0,1030000.0,360.0,1.0,Semiurban,Y
465,LP002494,Male,No,0,Graduate,No,60000,0.0,1400000.0,360.0,1.0,Rural,Y
426,LP002367,Female,No,1,Not Graduate,No,46060,0.0,810000.0,360.0,1.0,Rural,N
494,LP002585,Male,Yes,0,Graduate,No,35970,21570.0,1190000.0,360.0,0.0,Rural,N
198,LP001671,Female,Yes,0,Graduate,No,34160,28160.0,1130000.0,360.0,,Semiurban,Y
145,LP001514,Female,Yes,0,Graduate,No,23300,44860.0,1000000.0,360.0,1.0,Semiurban,Y
150,LP001528,Male,No,0,Graduate,No,62770,0.0,1180000.0,360.0,0.0,Rural,N
39,LP001116,Male,No,0,Not Graduate,No,37480,16680.0,1100000.0,360.0,1.0,Semiurban,Y
390,LP002255,Male,No,3+,Graduate,No,91670,0.0,1850000.0,360.0,1.0,Rural,Y
561,LP002813,Female,Yes,1,Graduate,Yes,194840,0.0,6000000.0,360.0,1.0,Semiurban,Y
417,LP002342,Male,Yes,2,Graduate,Yes,16000,200000.0,2390000.0,360.0,1.0,Urban,N
322,LP002054,Male,Yes,2,Not Graduate,No,36010,15900.0,,360.0,1.0,Rural,Y
253,LP001843,Male,Yes,1,Not Graduate,No,26610,71010.0,2790000.0,180.0,1.0,Semiurban,Y
572,LP002855,Male,Yes,2,Graduate,No,166660,0.0,2750000.0,360.0,1.0,Urban,Y
69,LP001241,Female,No,0,Graduate,No,43000,0.0,1360000.0,360.0,0.0,Semiurban,N
2,LP001005,Male,Yes,0,Graduate,Yes,30000,0.0,660000.0,360.0,1.0,Urban,Y
340,LP002115,Male,Yes,3+,Not Graduate,No,26470,15870.0,1730000.0,360.0,1.0,Rural,N
221,LP001743,Male,Yes,2,Graduate,No,40090,17170.0,1160000.0,360.0,1.0,Semiurban,Y
574,LP002863,Male,Yes,3+,Graduate,No,64060,0.0,1500000.0,360.0,1.0,Semiurban,N
146,LP001516,Female,Yes,2,Graduate,No,148660,0.0,700000.0,360.0,1.0,Urban,Y
289,LP001935,Male,No,0,Graduate,No,95080,0.0,1870000.0,360.0,1.0,Rural,Y
241,LP001800,Male,Yes,1,Not Graduate,No,25100,19830.0,1400000.0,180.0,1.0,Urban,N
408,LP002315,Male,Yes,1,Graduate,No,83000,0.0,1520000.0,300.0,0.0,Semiurban,N
583,LP002898,Male,Yes,1,Graduate,No,18800,0.0,610000.0,360.0,,Rural,N
114,LP001398,Male,No,0,Graduate,,50500,0.0,1180000.0,360.0,1.0,Semiurban,Y
538,LP002739,Male,Yes,0,Not Graduate,No,29170,5360.0,660000.0,360.0,1.0,Rural,N
611,LP002983,Male,Yes,1,Graduate,No,80720,2400.0,2530000.0,360.0,1.0,Urban,Y
491,LP002562,Male,Yes,1,Not Graduate,No,53330,11310.0,1860000.0,360.0,,Urban,Y
606,LP002961,Male,Yes,1,Graduate,No,34000,25000.0,1730000.0,360.0,1.0,Semiurban,Y
176,LP001608,Male,Yes,2,Graduate,No,20450,16190.0,1010000.0,360.0,1.0,Rural,Y
