,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001002,Male,No,0,Graduate,No,58490,0.0,,360.0,1.0,Urban,Y
1,LP001003,Male,Yes,1,Graduate,No,45830,15080.0,1280000.0,360.0,1.0,Rural,N
2,LP001005,Male,Yes,0,Graduate,Yes,30000,0.0,660000.0,360.0,1.0,Urban,Y
3,LP001006,Male,Yes,0,Not Graduate,No,25830,23580.0,1200000.0,360.0,1.0,Urban,Y
4,LP001008,Male,No,0,Graduate,No,60000,0.0,1410000.0,360.0,1.0,Urban,Y
5,LP001011,Male,Yes,2,Graduate,Yes,54170,41960.0,2670000.0,360.0,1.0,Urban,Y
6,LP001013,Male,Yes,0,Not Graduate,No,23330,15160.0,950000.0,360.0,1.0,Urban,Y
7,LP001014,Male,Yes,3+,Graduate,No,30360,25040.0,1580000.0,360.0,0.0,Semiurban,N
8,LP001018,Male,Yes,2,Graduate,No,40060,15260.0,1680000.0,360.0,1.0,Urban,Y
9,LP001020,Male,Yes,1,graduate,No,128410,109680.0,3490000.0,360.0,1.0,Semiurban,N
10,LP001024,Male,Yes,2,Graduate,No,32000,7000.0,700000.0,360.0,1.0,Urban,Y
10,LP001024,Male,Yes,2,Graduate,No,32000,7000.0,700000.0,360.0,1.0,Urban,Y
11,LP001027,Male,Yes,2,graduate,,25000,18400.0,1090000.0,360.0,1.0,Urban,Y
12,LP001028,Male,Yes,2,Graduate,No,30730,81060.0,2000000.0,360.0,1.0,Urban,Y
13,LP001029,Male,No,0,Graduate,No,18530,28400.0,1140000.0,360.0,1.0,Rural,N
14,LP001030,Male,Yes,2,Graduate,No,12990,10860.0,170000.0,120.0,1.0,Urban,Y
14,LP001030,Male,Yes,2,Graduate,No,12990,10860.0,170000.0,120.0,1.0,Urban,Y
15,LP001032,Male,No,0,Graduate,No,49500,0.0,1250000.0,360.0,1.0,Urban,Y
16,LP001034,Male,No,1,Not Graduate,No,35960,0.0,1000000.0,240.0,,Urban,Y
17,LP001036,Female,No,0,Graduate,No,35100,0.0,760000.0,360.0,0.0,Urban,N
18,LP001038,Male,Yes,0,Not Graduate,No,48870,0.0,1330000.0,360.0,1.0,Rural,N
19,LP001041,Male,Yes,0,Graduate,,26000,35000.0,1150000.0,,1.0,Urban,Y
20,LP001043,Male,Yes,0,Not Graduate,No,76600,0.0,1040000.0,360.0,0.0,Urban,N
21,LP001046,Male,Yes,1,Graduate,No,59550,56250.0,3150000.0,360.0,1.0,Urban,Y
22,LP001047,Male,Yes,0,Not Graduate,No,26000,19110.0,1160000.0,360.0,0.0,Semiurban,N
22,LP001047,Male,Yes,0,Not Graduate,No,26000,19110.0,1160000.0,360.0,0.0,Semiurban,N
23,LP001050,,Yes,2,Not Graduate,No,33650,19170.0,1120000.0,360.0,0.0,Rural,N
24,LP001052,Male,Yes,1,Graduate,,37170,29250.0,1510000.0,360.0,,Semiurban,N
24,LP001052,Male,Yes,1,Graduate,,37170,29250.0,1510000.0,360.0,,Semiurban,N
25,LP001066,Male,Yes,0,Graduate,Yes,95600,0.0,1910000.0,360.0,1.0,Semiurban,Y
25,LP001066,Male,Yes,0,Graduate,Yes,95600,0.0,1910000.0,360.0,1.0,Semiurban,Y
26,LP001068,Male,Yes,0,Graduate,No,27990,22530.0,1220000.0,360.0,1.0,Semiurban,Y
27,LP001073,Male,Yes,2,Not Graduate,No,42260,10400.0,1100000.0,360.0,1.0,Urban,Y
27,LP001073,Male,Yes,2,Not Graduate,No,42260,10400.0,1100000.0,360.0,1.0,Urban,Y
28,LP001086,Male,No,0,Not Graduate,No,14420,0.0,350000.0,360.0,1.0,Urban,N
29,LP001087,Female,No,2,Graduate,,37500,20830.0,1200000.0,360.0,1.0,Semiurban,Y
30,LP001091,Male,Yes,1,Graduate,,41660,33690.0,2010000.0,360.0,,Urban,N
31,LP001095,Male,No,0,Graduate,No,31670,0.0,740000.0,360.0,1.0,Urban,N
32,LP001097,Male,No,1,Graduate,Yes,46920,0.0,1060000.0,360.0,1.0,Rural,N
33,LP001098,Male,Yes,0,Graduate,No,35000,16670.0,1140000.0,360.0,1.0,Semiurban,Y
34,LP001100,Male,No,3+,Graduate,No,125000,30000.0,3200000.0,360.0,1.0,Rural,N
35,LP001106,Male,Yes,0,Graduate,No,22750,20670.0,,360.0,1.0,Urban,Y
36,LP001109,Male,Yes,0,Graduate,No,18280,13300.0,1000000.0,,0.0,Urban,N
37,LP001112,Female,Yes,0,Graduate,No,36670,14590.0,1440000.0,360.0,1.0,Semiurban,Y
38,LP001114,Male,No,0,Graduate,No,41660,72100.0,1840000.0,360.0,1.0,Urban,Y
39,LP001116,Male,No,0,Not Graduate,No,37480,16680.0,1100000.0,360.0,1.0,Semiurban,Y
40,LP001119,Male,No,0,Graduate,No,36000,0.0,800000.0,360.0,1.0,Urban,N
41,LP001120,Male,No,0,Graduate,No,18000,12130.0,470000.0,360.0,1.0,Urban,Y
42,LP001123,Male,Yes,0,Graduate,No,24000,0.0,750000.0,360.0,,Urban,Y
43,LP001131,Male,Yes,0,Graduate,No,39410,23360.0,1340000.0,360.0,1.0,Semiurban,Y
44,LP001136,Male,Yes,0,Not Graduate,Yes,46950,0.0,960000.0,,1.0,Urban,Y
45,LP001137,Female,No,0,Graduate,No,34100,0.0,880000.0,,1.0,Urban,Y
46,LP001138,Male,Yes,1,Graduate,No,56490,0.0,440000.0,360.0,1.0,Urban,Y
47,LP001144,Male,Yes,0,Graduate,No,58210,0.0,1440000.0,360.0,1.0,Urban,Y
48,LP001146,Female,Yes,0,Graduate,No,26450,34400.0,1200000.0,360.0,0.0,Urban,N
49,LP001151,Female,No,0,Graduate,No,40000,22750.0,1440000.0,360.0,1.0,Semiurban,Y
50,LP001155,Female,Yes,0,Not Graduate,No,19280,16440.0,1000000.0,360.0,1.0,Semiurban,Y
51,LP001157,Female,No,0,Graduate,No,30860,0.0,1200000.0,360.0,1.0,Semiurban,Y
52,LP001164,Female,No,0,Graduate,No,42300,0.0,1120000.0,360.0,1.0,Semiurban,N
53,LP001179,Male,Yes,2,Graduate,No,46160,0.0,1340000.0,360.0,1.0,Urban,N
54,LP001186,Female,Yes,1,Graduate,Yes,115000,0.0,2860000.0,360.0,0.0,Urban,N
55,LP001194,Male,Yes,2,Graduate,No,27080,11670.0,970000.0,360.0,1.0,Semiurban,Y
56,LP001195,Male,Yes,0,Graduate,No,21320,15910.0,960000.0,360.0,1.0,Semiurban,Y
57,LP001197,Male,Yes,0,Graduate,No,33660,22000.0,1350000.0,360.0,1.0,Rural,N
58,LP001198,Male,Yes,1,Graduate,No,80800,22500.0,1800000.0,360.0,1.0,Urban,Y
59,LP001199,Male,Yes,2,Not Graduate,No,33570,28590.0,1440000.0,360.0,1.0,Urban,Y
60,LP001205,Male,Yes,0,Graduate,No,25000,37960.0,1200000.0,360.0,1.0,Urban,Y
61,LP001206,Male,Yes,3+,Graduate,No,30290,0.0,990000.0,360.0,1.0,Urban,Y
62,LP001207,Male,Yes,0,Not Graduate,Yes,26090,34490.0,1650000.0,180.0,0.0,Rural,N
63,LP001213,Male,Yes,1,Graduate,No,49450,0.0,,360.0,0.0,Rural,N
64,LP001222,Female,No,0,Graduate,No,41660,0.0,1160000.0,360.0,0.0,Semiurban,N
65,LP001225,Male,Yes,0,Graduate,No,57260,45950.0,2580000.0,360.0,1.0,Semiurban,N
66,LP001228,Male,No,0,Not Graduate,No,32000,22540.0,1260000.0,180.0,0.0,Urban,N
67,LP001233,Male,Yes,1,Graduate,No,107500,0.0,3120000.0,360.0,1.0,Urban,Y
68,LP001238,Male,Yes,3+,Not Graduate,Yes,71000,0.0,1250000.0,60.0,1.0,Urban,Y
69,LP001241,Female,No,0,Graduate,No,43000,0.0,1360000.0,360.0,0.0,Semiurban,N
70,LP001243,Male,Yes,0,Graduate,No,32080,30660.0,1720000.0,360.0,1.0,Urban,Y
71,LP001245,Male,Yes,2,Not Graduate,Yes,18750,18750.0,970000.0,360.0,1.0,Semiurban,Y
72,LP001248,Male,No,0,Graduate,No,35000,0.0,810000.0,300.0,1.0,Semiurban,Y
73,LP001250,Male,Yes,3+,Not Graduate,No,47550,0.0,950000.0,,0.0,Semiurban,N
74,LP001253,Male,Yes,3+,Graduate,Yes,52660,17740.0,1870000.0,360.0,1.0,Semiurban,Y
75,LP001255,Male,No,0,Graduate,No,37500,0.0,1130000.0,480.0,1.0,Urban,N
76,LP001256,Male,No,0,Graduate,No,37500,47500.0,1760000.0,360.0,1.0,Urban,N
77,LP001259,Male,Yes,1,Graduate,Yes,10000,30220.0,1100000.0,360.0,1.0,Urban,N
78,LP001263,Male,Yes,3+,Graduate,No,31670,40000.0,1800000.0,300.0,0.0,Semiurban,N
79,LP001264,Male,Yes,3+,Not Graduate,Yes,33330,21660.0,1300000.0,360.0,,Semiurban,Y
80,LP001265,Female,No,0,Graduate,No,38460,0.0,1110000.0,360.0,1.0,Semiurban,Y
81,LP001266,Male,Yes,1,Graduate,Yes,23950,0.0,,360.0,1.0,Semiurban,Y
82,LP001267,Female,Yes,2,Graduate,No,13780,18810.0,1670000.0,360.0,1.0,Urban,N
83,LP001273,Male,Yes,0,Graduate,No,60000,22500.0,2650000.0,360.0,,Semiurban,N
84,LP001275,Male,Yes,1,Graduate,No,39880,0.0,500000.0,240.0,1.0,Urban,Y
85,LP001279,Male,No,0,Graduate,No,23660,25310.0,1360000.0,360.0,1.0,Semiurban,Y
86,LP001280,Male,Yes,2,Not Graduate,No,33330,20000.0,990000.0,360.0,,Semiurban,Y
87,LP001282,Male,Yes,0,Graduate,No,25000,21180.0,1040000.0,360.0,1.0,Semiurban,Y
88,LP001289,Male,No,0,Graduate,No,85660,0.0,2100000.0,360.0,1.0,Urban,Y
89,LP001310,Male,Yes,0,Graduate,No,56950,41670.0,1750000.0,360.0,1.0,Semiurban,Y
90,LP001316,Male,Yes,0,Graduate,No,29580,29000.0,1310000.0,360.0,1.0,Semiurban,Y
91,LP001318,Male,Yes,2,Graduate,No,62500,56540.0,1880000.0,180.0,1.0,Semiurban,Y
92,LP001319,Male,Yes,2,Not Graduate,No,32730,18200.0,810000.0,360.0,1.0,Urban,Y
93,LP001322,Male,No,0,Graduate,No,41330,0.0,1220000.0,360.0,1.0,Semiurban,Y
94,LP001325,Male,No,0,Not Graduate,No,36200,0.0,250000.0,120.0,1.0,Semiurban,Y
95,LP001326,Male,No,0,Graduate,,67820,0.0,,360.0,,Urban,N
96,LP001327,Female,Yes,0,Graduate,No,24840,23020.0,1370000.0,360.0,1.0,Semiurban,Y
97,LP001333,Male,Yes,0,Graduate,No,19770,9970.0,500000.0,360.0,1.0,Semiurban,Y
98,LP001334,Male,Yes,0,Not Graduate,No,41880,0.0,1150000.0,180.0,1.0,Semiurban,Y
99,LP001343,Male,Yes,0,Graduate,No,17590,35410.0,1310000.0,360.0,1.0,Semiurban,Y
100,LP001345,Male,Yes,2,Not Graduate,No,42880,32630.0,1330000.0,180.0,1.0,Urban,Y
101,LP001349,Male,No,0,Graduate,No,48430,38060.0,1510000.0,360.0,1.0,Semiurban,Y
102,LP001350,Male,Yes,,Graduate,No,136500,0.0,,360.0,1.0,Urban,Y
103,LP001356,Male,Yes,0,Graduate,No,46520,35830.0,,360.0,1.0,Semiurban,Y
104,LP001357,Male,,,Graduate,No,38160,7540.0,1600000.0,360.0,1.0,Urban,Y
105,LP001367,Male,Yes,1,Graduate,No,30520,10300.0,1000000.0,360.0,1.0,Urban,Y
106,LP001369,Male,Yes,2,Graduate,No,114170,11260.0,2250000.0,360.0,1.0,Urban,Y
107,LP001370,Male,No,0,Not Graduate,,73330,0.0,1200000.0,360.0,1.0,Rural,N
108,LP001379,Male,Yes,2,Graduate,No,38000,36000.0,2160000.0,360.0,0.0,Urban,N
109,LP001384,Male,Yes,3+,Not Graduate,No,20710,7540.0,940000.0,480.0,1.0,Semiurban,Y
110,LP001385,Male,No,0,Graduate,No,53160,0.0,1360000.0,360.0,1.0,Urban,Y
111,LP001387,Female,Yes,0,Graduate,,29290,23330.0,1390000.0,360.0,1.0,Semiurban,Y
112,LP001391,Male,Yes,0,Not Graduate,No,35720,41140.0,1520000.0,,0.0,Rural,N
113,LP001392,Female,No,1,Graduate,Yes,74510,0.0,,360.0,1.0,Semiurban,Y
114,LP001398,Male,No,0,Graduate,,50500,0.0,1180000.0,360.0,1.0,Semiurban,Y
115,LP001401,Male,Yes,1,Graduate,No,145830,0.0,1850000.0,180.0,1.0,Rural,Y
116,LP001404,Female,Yes,0,Graduate,No,31670,22830.0,1540000.0,360.0,1.0,Semiurban,Y
117,LP001405,Male,Yes,1,Graduate,No,22140,13980.0,850000.0,360.0,,Urban,Y
118,LP001421,Male,Yes,0,Graduate,No,55680,21420.0,1750000.0,360.0,1.0,Rural,N
119,LP001422,Female,No,0,Graduate,No,104080,0.0,2590000.0,360.0,1.0,Urban,Y
120,LP001426,Male,Yes,,Graduate,No,56670,26670.0,1800000.0,360.0,1.0,Rural,Y
121,LP001430,Female,No,0,Graduate,No,41660,0.0,440000.0,360.0,1.0,Semiurban,Y
122,LP001431,Female,No,0,Graduate,No,21370,89800.0,1370000.0,360.0,0.0,Semiurban,Y
123,LP001432,Male,Yes,2,Graduate,No,29570,0.0,810000.0,360.0,1.0,Semiurban,Y
124,LP001439,Male,Yes,0,Not Graduate,No,43000,20140.0,1940000.0,360.0,1.0,Rural,Y
125,LP001443,Female,No,0,Graduate,No,36920,0.0,930000.0,360.0,,Rural,Y
126,LP001448,,Yes,3+,Graduate,No,238030,0.0,3700000.0,360.0,1.0,Rural,Y
127,LP001449,Male,No,0,Graduate,No,38650,16400.0,,360.0,1.0,Rural,Y
128,LP001451,Male,Yes,1,Graduate,Yes,105130,38500.0,1600000.0,180.0,0.0,Urban,N
129,LP001465,Male,Yes,0,Graduate,No,60800,25690.0,1820000.0,360.0,,Rural,N
130,LP001469,Male,No,0,Graduate,Yes,201660,0.0,6500000.0,480.0,,Urban,Y
131,LP001473,Male,No,0,Graduate,No,20140,19290.0,740000.0,360.0,1.0,Urban,Y
132,LP001478,Male,No,0,Graduate,No,27180,0.0,700000.0,360.0,1.0,Semiurban,Y
133,LP001482,Male,Yes,0,Graduate,Yes,34590,0.0,250000.0,120.0,1.0,Semiurban,Y
134,LP001487,Male,No,0,Graduate,No,48950,0.0,1020000.0,360.0,1.0,Semiurban,Y
135,LP001488,Male,Yes,3+,Graduate,No,40000,77500.0,2900000.0,360.0,1.0,Semiurban,N
136,LP001489,Female,Yes,0,Graduate,No,45830,0.0,840000.0,360.0,1.0,Rural,N
137,LP001491,Male,Yes,2,Graduate,Yes,33160,35000.0,880000.0,360.0,1.0,Urban,Y
138,LP001492,Male,No,0,Graduate,No,149990,0.0,2420000.0,360.0,0.0,Semiurban,N
139,LP001493,Male,Yes,2,Not Graduate,No,42000,14300.0,1290000.0,360.0,1.0,Rural,N
140,LP001497,Male,Yes,2,Graduate,No,50420,20830.0,1850000.0,360.0,1.0,Rural,N
141,LP001498,Male,No,0,Graduate,No,54170,0.0,1680000.0,360.0,1.0,Urban,Y
142,LP001504,Male,No,0,Graduate,Yes,69500,0.0,1750000.0,180.0,1.0,Semiurban,Y
143,LP001507,Male,Yes,0,Graduate,No,26980,20340.0,1220000.0,360.0,1.0,Semiurban,Y
144,LP001508,Male,Yes,2,Graduate,No,117570,0.0,1870000.0,180.0,1.0,Urban,Y
145,LP001514,Female,Yes,0,Graduate,No,23300,44860.0,1000000.0,360.0,1.0,Semiurban,Y
146,LP001516,Female,Yes,2,Graduate,No,148660,0.0,700000.0,360.0,1.0,Urban,Y
147,LP001518,Male,Yes,1,Graduate,No,15380,14250.0,300000.0,360.0,1.0,Urban,Y
148,LP001519,Female,No,0,Graduate,No,100000,16660.0,2250000.0,360.0,1.0,Rural,N
149,LP001520,Male,Yes,0,Graduate,No,48600,8300.0,1250000.0,360.0,1.0,Semiurban,Y
150,LP001528,Male,No,0,Graduate,No,62770,0.0,1180000.0,360.0,0.0,Rural,N
151,LP001529,Male,Yes,0,Graduate,Yes,25770,37500.0,1520000.0,360.0,1.0,Rural,Y
152,LP001531,Male,No,0,Graduate,No,91660,0.0,2440000.0,360.0,1.0,Urban,N
153,LP001532,Male,Yes,2,Not Graduate,No,22810,0.0,1130000.0,360.0,1.0,Rural,N
154,LP001535,Male,No,0,Graduate,No,32540,0.0,500000.0,360.0,1.0,Urban,Y
155,LP001536,Male,Yes,3+,Graduate,No,399990,0.0,6000000.0,180.0,0.0,Semiurban,Y
156,LP001541,Male,Yes,1,Graduate,No,60000,0.0,1600000.0,360.0,,Rural,Y
157,LP001543,Male,Yes,1,Graduate,No,95380,0.0,1870000.0,360.0,1.0,Urban,Y
158,LP001546,Male,No,0,Graduate,,29800,20830.0,1200000.0,360.0,1.0,Rural,Y
159,LP001552,Male,Yes,0,Graduate,No,45830,56250.0,2550000.0,360.0,1.0,Semiurban,Y
160,LP001560,Male,Yes,0,Not Graduate,No,18630,10410.0,980000.0,360.0,1.0,Semiurban,Y
161,LP001562,Male,Yes,0,Graduate,No,79330,0.0,2750000.0,360.0,1.0,Urban,N
162,LP001565,Male,Yes,1,Graduate,No,30890,12800.0,1210000.0,360.0,0.0,Semiurban,N
163,LP001570,Male,Yes,2,Graduate,No,41670,14470.0,1580000.0,360.0,1.0,Rural,Y
164,LP001572,Male,Yes,0,Graduate,No,93230,0.0,750000.0,180.0,1.0,Urban,Y
165,LP001574,Male,Yes,0,Graduate,No,37070,31660.0,1820000.0,,1.0,Rural,Y
166,LP001577,Female,Yes,0,Graduate,No,45830,0.0,1120000.0,360.0,1.0,Rural,N
167,LP001578,Male,Yes,0,Graduate,No,24390,33330.0,1290000.0,360.0,1.0,Rural,Y
168,LP001579,Male,No,0,Graduate,No,22370,0.0,630000.0,480.0,0.0,Semiurban,N
169,LP001580,Male,Yes,2,Graduate,No,80000,0.0,2000000.0,360.0,1.0,Semiurban,Y
170,LP001581,Male,Yes,0,Not Graduate,,18200,17690.0,950000.0,360.0,1.0,Rural,Y
171,LP001585,,Yes,3+,Graduate,No,517630,0.0,7000000.0,300.0,1.0,Urban,Y
172,LP001586,Male,Yes,3+,Not Graduate,No,35220,0.0,810000.0,180.0,1.0,Rural,N
173,LP001594,Male,Yes,0,Graduate,No,57080,56250.0,1870000.0,360.0,1.0,Semiurban,Y
174,LP001603,Male,Yes,0,Not Graduate,Yes,43440,7360.0,870000.0,360.0,1.0,Semiurban,N
175,LP001606,Male,Yes,0,Graduate,No,34970,19640.0,1160000.0,360.0,1.0,Rural,Y
176,LP001608,Male,Yes,2,Graduate,No,20450,16190.0,1010000.0,360.0,1.0,Rural,Y
177,LP001610,Male,Yes,3+,Graduate,No,55160,113000.0,4950000.0,360.0,0.0,Semiurban,N
178,LP001616,Male,Yes,1,Graduate,No,37500,0.0,1160000.0,360.0,1.0,Semiurban,Y
179,LP001630,Male,No,0,Not Graduate,No,23330,14510.0,1020000.0,480.0,0.0,Urban,N
180,LP001633,Male,Yes,1,Graduate,No,64000,72500.0,1800000.0,360.0,0.0,Urban,N
181,LP001634,Male,No,0,Graduate,No,19160,50630.0,670000.0,360.0,,Rural,N
182,LP001636,Male,Yes,0,Graduate,No,46000,0.0,730000.0,180.0,1.0,Semiurban,Y
183,LP001637,Male,Yes,1,Graduate,No,338460,0.0,2600000.0,360.0,1.0,Semiurban,N
184,LP001639,Female,Yes,0,Graduate,No,36250,0.0,1080000.0,360.0,1.0,Semiurban,Y
185,LP001640,Male,Yes,0,Graduate,Yes,391470,47500.0,1200000.0,360.0,1.0,Semiurban,Y
186,LP001641,Male,Yes,1,Graduate,Yes,21780,0.0,660000.0,300.0,0.0,Rural,N
187,LP001643,Male,Yes,0,Graduate,No,23830,21380.0,580000.0,360.0,,Rural,Y
188,LP001644,,Yes,0,Graduate,Yes,6740,52960.0,1680000.0,360.0,1.0,Rural,Y
189,LP001647,Male,Yes,0,Graduate,No,93280,0.0,1880000.0,180.0,1.0,Rural,Y
190,LP001653,Male,No,0,Not Graduate,No,48850,0.0,480000.0,360.0,1.0,Rural,Y
191,LP001656,Male,No,0,Graduate,No,120000,0.0,1640000.0,360.0,1.0,Semiurban,N
192,LP001657,Male,Yes,0,Not Graduate,No,60330,0.0,1600000.0,360.0,1.0,Urban,N
193,LP001658,Male,No,0,Graduate,No,38580,0.0,760000.0,360.0,1.0,Semiurban,Y
194,LP001664,Male,No,0,Graduate,No,41910,0.0,1200000.0,360.0,1.0,Rural,Y
195,LP001665,Male,Yes,1,Graduate,No,31250,25830.0,1700000.0,360.0,1.0,Semiurban,N
196,LP001666,Male,No,0,Graduate,No,83330,37500.0,1870000.0,360.0,1.0,Rural,Y
197,LP001669,Female,No,0,Not Graduate,No,19070,23650.0,1200000.0,,1.0,Urban,Y
198,LP001671,Female,Yes,0,Graduate,No,34160,28160.0,1130000.0,360.0,,Semiurban,Y
199,LP001673,Male,No,0,Graduate,Yes,110000,0.0,830000.0,360.0,1.0,Urban,N
